PeriodId,HierarchyId,KpiId,ActivityGroupId,activity,spend,kpiValue,Enable0SpendDriver,conversionFactor,curveActivityFactor,curveCoefC,curveCoefD,curveGradient,optimalAiringLevel,WeeksOnAir,RetentionRate,AvgWeeklySupportAMP,proxyActivity,proxySpend,proxyRoi,proxyCurveCoefC,proxyCurveCoefD,proxyRetentionRate,proxyWeeksOnAir,proxyAvgWeeklySupportAMP,proxyWeeklyActivityPoint
2,3,4,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
3,3,4,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
4,3,4,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
5,3,4,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
1,1,1,1,574373.8,14036000.0,21994638.67,0.0,1.0,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
2,1,1,1,513246.2,12339276.9,21454812.29,0.0,1.0,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,1,1,1,470158.5,11212811.3,17723475.01,0.0,1.0,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,1,1,1,504620.2,12098236.9,20491986.88,0.0,1.0,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,1,1,1,2062398.7,49686325.1,81664912.85,0.0,1.0,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,2,1,1,574373.8,14036000.0,12040675.9,0.0,1.0,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
2,2,1,1,513246.2,12339276.9,10155306.15,0.0,1.0,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,2,1,1,470158.5,11212811.3,9427640.79,0.0,1.0,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,2,1,1,504620.2,12098236.9,11986684.89,0.0,1.0,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,2,1,1,2062398.7,49686325.1,43610307.72,0.0,1.0,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,3,1,1,574373.8,14036000.0,,0.0,,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
2,3,1,1,513246.2,12339276.9,,0.0,,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,3,1,1,470158.5,11212811.3,,0.0,,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,3,1,1,504620.2,12098236.9,,0.0,,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,3,1,1,2062398.7,49686325.1,,0.0,,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,1,2,1,574373.8,14036000.0,17186760.86,0.0,1.0,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
2,1,2,1,513246.2,12339276.9,17059768.01,0.0,1.0,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,1,2,1,470158.5,11212811.3,13822611.33,0.0,1.0,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,1,2,1,504620.2,12098236.9,15886328.03,0.0,1.0,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,1,2,1,2062398.7,49686325.1,63955468.24,0.0,1.0,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,2,2,1,574373.8,14036000.0,4919018.49,0.0,1.0,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
2,2,2,1,513246.2,12339276.9,4028793.3,0.0,1.0,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,2,2,1,470158.5,11212811.3,3510715.76,0.0,1.0,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,2,2,1,504620.2,12098236.9,4431520.78,0.0,1.0,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,2,2,1,2062398.7,49686325.1,16890048.33,0.0,1.0,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,3,2,1,574373.8,14036000.0,,0.0,,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
2,3,2,1,513246.2,12339276.9,,0.0,,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,3,2,1,470158.5,11212811.3,,0.0,,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,3,2,1,504620.2,12098236.9,,0.0,,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,3,2,1,2062398.7,49686325.1,,0.0,,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,1,3,1,574373.8,14036000.0,321368.6264,0.0,1.0,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
2,1,3,1,513246.2,12339276.9,282520.4096,0.0,1.0,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,1,3,1,470158.5,11212811.3,256728.8235,0.0,1.0,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,1,3,1,504620.2,12098236.9,277001.5514,0.0,1.0,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,1,3,1,2062398.7,49686325.1,1137619.411,0.0,1.0,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,2,3,1,574373.8,14036000.0,321368.6264,0.0,1.0,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
2,2,3,1,513246.2,12339276.9,282520.4096,0.0,1.0,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,2,3,1,470158.5,11212811.3,256728.8235,0.0,1.0,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,2,3,1,504620.2,12098236.9,277001.5514,0.0,1.0,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,2,3,1,2062398.7,49686325.1,1137619.411,0.0,1.0,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,3,3,1,574373.8,14036000.0,,0.0,,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
2,3,3,1,513246.2,12339276.9,,0.0,,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,3,3,1,470158.5,11212811.3,,0.0,,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,3,3,1,504620.2,12098236.9,,0.0,,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,3,3,1,2062398.7,49686325.1,,0.0,,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,1,4,1,574373.8,14036000.0,43770575.09,0.0,1.0,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
2,1,4,1,513246.2,12339276.9,42617592.21,0.0,1.0,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,1,4,1,470158.5,11212811.3,34985724.12,0.0,1.0,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,1,4,1,504620.2,12098236.9,40318101.01,0.0,1.0,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,1,4,1,2062398.7,49686325.1,161691992.4,0.0,1.0,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,2,4,1,574373.8,14036000.0,19186162.2,0.0,1.0,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
2,2,4,1,513246.2,12339276.9,16172360.94,0.0,1.0,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,2,4,1,470158.5,11212811.3,15036097.95,0.0,1.0,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,2,4,1,504620.2,12098236.9,19121376.29,0.0,1.0,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,2,4,1,2062398.7,49686325.1,69515997.39,0.0,1.0,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,3,4,1,574373.8,14036000.0,,0.0,,,,,,,13.0,0.38,756774.0753,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
