Id,SortOrder,Label,Base,LowerBound,UpperBound,Activity Group,taxonomyGroupName,marketingChannelName,marketingBuyName,SPA - Factor,SPA - Format,SPA - Display
68,0,Impressions,0,0.8,1.2,CTV - Other - Silent Sufferers,,,,1.0,"$0,0.00",
69,0,Impressions,0,0.8,1.2,Digital Display - Silent Sufferers,,,,1.0,"$0,0.00",
70,0,Impressions,0,0.8,1.2,Digital Video - Silent Sufferers,,,,1.0,"$0,0.00",
71,0,Impressions,0,0.8,1.2,Paid Social - Silent Sufferers,,,,1.0,"$0,0.00",
72,0,,1,1.0,1.0,Price,,,,1.0,"$0,0.00",
73,0,,1,1.0,1.0,Category,,,,1.0,"$0,0.00",
74,0,,1,1.0,1.0,Competition,,,,1.0,"$0,0.00",
75,0,,1,1.0,1.0,Distribution,,,,1.0,"$0,0.00",
76,0,Impressions,0,0.8,1.2,Addressable TV - Silent Sufferers,,,,1.0,"$0,0.00",
77,0,Impressions,0,0.8,1.2,CTV - Hulu - Silent Sufferers,,,,1.0,"$0,0.00",
78,0,Impressions,0,0.8,1.2,Other Digital Video - Silent Sufferers,,,,1.0,"$0,0.00",
79,0,Impressions,0,0.8,1.2,YouTube - Silent Sufferers,,,,1.0,"$0,0.00",
80,0,Impressions,0,0.8,1.2,PTC Hills-Led Media,,,,1.0,"$0,0.00",
81,0,Impressions,0,0.8,1.2,PMT Hills-Led Media,,,,1.0,"$0,0.00",
82,0,Impressions,0,0.8,1.2,PTC Hills-Led Media,,,,1.0,"$0,0.00",
83,0,Impressions,0,0.8,1.2,CTV - Hulu - Switchers,,,,1.0,"$0,0.00",
84,0,Impressions,0,0.8,1.2,PR,,,,1.0,"$0,0.00",
85,0,Impressions,0,0.8,1.2,Sponsorships,,,,1.0,"$0,0.00",
86,0,Impressions,0,0.8,1.2,OOH,,,,1.0,"$0,0.00",
